data_name,model,channel,preprocesssing,effect_acc,effect_kldiv,test_acc
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",0.0,RhythmData,0.1171875,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",1.0,RhythmData,0.03125,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",2.0,RhythmData,0.0,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",3.0,RhythmData,0.46875,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",4.0,RhythmData,0.0,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",5.0,RhythmData,0.015625,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",6.0,RhythmData,0.0,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",7.0,RhythmData,0.0078125,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",8.0,RhythmData,0.0,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",9.0,RhythmData,0.046875,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",10.0,RhythmData,0.1640625,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",11.0,RhythmData,0.0078125,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",12.0,RhythmData,0.0078125,,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",13.0,RhythmData,0.0390625,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",0.0,RhythmData,0.0859375,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",1.0,RhythmData,0.03125,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",2.0,RhythmData,0.0078125,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",3.0,RhythmData,0.5,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",4.0,RhythmData,0.0234375,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",5.0,RhythmData,0.03125,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",6.0,RhythmData,0.03125,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",7.0,RhythmData,0.0234375,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",8.0,RhythmData,0.0,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",9.0,RhythmData,0.015625,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",10.0,RhythmData,0.1171875,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",11.0,RhythmData,0.09375,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",12.0,RhythmData,0.0,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",13.0,RhythmData,0.0625,,0.975
GTZAN,mv_linear,0.0,RhythmData,0.0078125,0.08932816982269287,1.0
GTZAN,mv_linear,1.0,RhythmData,0.0625,3.0208845138549805,1.0
GTZAN,mv_linear,2.0,RhythmData,0.03125,0.932525634765625,1.0
GTZAN,mv_linear,3.0,RhythmData,0.234375,15.625041961669922,1.0
GTZAN,mv_linear,4.0,RhythmData,0.0390625,0.9052600860595703,1.0
GTZAN,mv_linear,5.0,RhythmData,0.0234375,0.1026536226272583,1.0
GTZAN,mv_linear,6.0,RhythmData,0.140625,10.63137435913086,1.0
GTZAN,mv_linear,7.0,RhythmData,0.0078125,0.21254563331604004,1.0
GTZAN,mv_linear,8.0,RhythmData,0.0078125,0.18214106559753418,1.0
GTZAN,mv_linear,9.0,RhythmData,0.078125,3.3363399505615234,1.0
GTZAN,mv_linear,10.0,RhythmData,0.0234375,0.2850770950317383,1.0
GTZAN,mv_linear,11.0,RhythmData,0.0234375,0.3190460205078125,1.0
GTZAN,mv_linear,12.0,RhythmData,0.0,0.11235010623931885,1.0
GTZAN,mv_linear,13.0,RhythmData,0.0078125,0.301858514547348,1.0
GTZAN,linear,0.0,RhythmData,0.4140625,95.03636169433594,0.975
GTZAN,linear,1.0,RhythmData,0.4453125,83.75401306152344,0.975
GTZAN,linear,2.0,RhythmData,0.21875,23.74125862121582,0.975
GTZAN,linear,3.0,RhythmData,0.5234375,276.943115234375,0.975
GTZAN,linear,4.0,RhythmData,0.1015625,5.723084449768066,0.975
GTZAN,linear,5.0,RhythmData,0.1171875,5.860343933105469,0.975
GTZAN,linear,6.0,RhythmData,0.453125,98.5181884765625,0.975
GTZAN,linear,7.0,RhythmData,0.125,7.50567626953125,0.975
GTZAN,linear,8.0,RhythmData,0.25,18.954204559326172,0.975
GTZAN,linear,9.0,RhythmData,0.1640625,13.649640083312988,0.975
GTZAN,linear,10.0,RhythmData,0.1953125,16.215717315673828,0.975
GTZAN,linear,11.0,RhythmData,0.21875,29.350231170654297,0.975
GTZAN,linear,12.0,RhythmData,0.0078125,0.0007688924670219421,0.975
GTZAN,linear,13.0,RhythmData,0.265625,23.80618667602539,0.975
GTZAN,simple_cnn,0.0,RhythmData,0.2890625,63.214935302734375,0.975
GTZAN,simple_cnn,1.0,RhythmData,0.125,23.657264709472656,0.975
GTZAN,simple_cnn,2.0,RhythmData,0.1171875,10.050458908081055,0.975
GTZAN,simple_cnn,3.0,RhythmData,0.5078125,inf,0.975
GTZAN,simple_cnn,4.0,RhythmData,0.1328125,9.475353240966797,0.975
GTZAN,simple_cnn,5.0,RhythmData,0.03125,1.505660057067871,0.975
GTZAN,simple_cnn,6.0,RhythmData,0.234375,28.541259765625,0.975
GTZAN,simple_cnn,7.0,RhythmData,0.0234375,1.0420804023742676,0.975
GTZAN,simple_cnn,8.0,RhythmData,0.1171875,7.979902267456055,0.975
GTZAN,simple_cnn,9.0,RhythmData,0.03125,2.5770692825317383,0.975
GTZAN,simple_cnn,10.0,RhythmData,0.3046875,inf,0.975
GTZAN,simple_cnn,11.0,RhythmData,0.15625,30.833711624145508,0.975
GTZAN,simple_cnn,12.0,RhythmData,0.0078125,0.7330489158630371,0.975
GTZAN,simple_cnn,13.0,RhythmData,0.21875,23.436227798461914,0.975
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",0.0,MIRData,0.0234375,,0.9
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",1.0,MIRData,0.15625,,0.9
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",2.0,MIRData,0.2109375,,0.9
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",3.0,MIRData,0.2109375,,0.9
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",4.0,MIRData,0.328125,,0.9
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",5.0,MIRData,0.0859375,,0.9
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",6.0,MIRData,0.1328125,,0.9
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",7.0,MIRData,0.4921875,,0.9
GTZAN,"mv_svm--{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",8.0,MIRData,0.2421875,,0.9
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",0.0,MIRData,0.0,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",1.0,MIRData,0.15625,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",2.0,MIRData,0.25,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",3.0,MIRData,0.265625,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",4.0,MIRData,0.0390625,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",5.0,MIRData,0.109375,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",6.0,MIRData,0.03125,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",7.0,MIRData,0.4765625,,0.975
GTZAN,"mv_nn--{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",8.0,MIRData,0.1875,,0.975
GTZAN,mv_linear,0.0,MIRData,0.0546875,3.0834617614746094,0.95
GTZAN,mv_linear,1.0,MIRData,0.03125,1.0384225845336914,0.95
GTZAN,mv_linear,2.0,MIRData,0.109375,6.487950325012207,0.95
GTZAN,mv_linear,3.0,MIRData,0.140625,9.803372383117676,0.95
GTZAN,mv_linear,4.0,MIRData,0.109375,9.092424392700195,0.95
GTZAN,mv_linear,5.0,MIRData,0.1640625,15.443552017211914,0.95
GTZAN,mv_linear,6.0,MIRData,0.1171875,9.946950912475586,0.95
GTZAN,mv_linear,7.0,MIRData,0.0625,6.513751983642578,0.95
GTZAN,mv_linear,8.0,MIRData,0.109375,6.441889762878418,0.95
GTZAN,linear,0.0,MIRData,0.109375,9.455513954162598,0.775
GTZAN,linear,1.0,MIRData,0.4296875,62.38788986206055,0.775
GTZAN,linear,2.0,MIRData,0.4296875,89.50286865234375,0.775
GTZAN,linear,3.0,MIRData,0.4921875,86.53050231933594,0.775
GTZAN,linear,4.0,MIRData,0.265625,14.585254669189453,0.775
GTZAN,linear,5.0,MIRData,0.1484375,9.388278007507324,0.775
GTZAN,linear,6.0,MIRData,0.25,44.519474029541016,0.775
GTZAN,linear,7.0,MIRData,0.5078125,293.72509765625,0.775
GTZAN,linear,8.0,MIRData,0.1484375,15.194051742553711,0.775
GTZAN,simple_cnn,0.0,MIRData,0.1796875,20.6497745513916,0.9
GTZAN,simple_cnn,1.0,MIRData,0.28125,45.676177978515625,0.9
GTZAN,simple_cnn,2.0,MIRData,0.3984375,78.65441131591797,0.9
GTZAN,simple_cnn,3.0,MIRData,0.484375,224.81304931640625,0.9
GTZAN,simple_cnn,4.0,MIRData,0.0234375,2.745762348175049,0.9
GTZAN,simple_cnn,5.0,MIRData,0.0859375,6.730135440826416,0.9
GTZAN,simple_cnn,6.0,MIRData,0.359375,100.2144546508789,0.9
GTZAN,simple_cnn,7.0,MIRData,0.515625,318.4230041503906,0.9
GTZAN,simple_cnn,8.0,MIRData,0.1875,26.169097900390625,0.9
